column,preliminary_classification,approved_for_removal,note
PED_NUMERO_PEDIDO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_CODIGO_CLIENTE,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_RESPONSABLE,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_CANAL_CODIGO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_CANAL,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_CONDICION_EXPEDICION_CODIGO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_CONDICION_EXPEDICION,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_VALOR_NETO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_MONEDA,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_CENTRO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_CIUDAD,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_REGION,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_BLOQUEO_ENTREGA,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_ORDEN_COMPRA_CLIENTE,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_ESTADO_CREDITO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_TEXTO_ESTADO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PED_FECHA_HORA,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
SERV_TIPO_SERVICIO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
SERV_TIPO_SERVICIO_PLANIFICADO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
ES_FES,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
ES_SALDO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
OTIF_ESTADO_PEDIDO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
SEGMENTO_ANALISIS,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
INCLUIR_SLA_NORMAL,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
MES_CREACION,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
DIA_MES_CREACION,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
TRAMO_MES_CALENDARIO,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
ES_ULTIMOS_7_DIAS_HABILES_MES,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
ESTADO_SLA_NORMAL,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PROCESO_DOMINANTE_NORMAL,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
PDA_P_FECHA_HORA,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
COM_P_FECHA_HORA,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
COM_U_FECHA_HORA,KEEP_HYPOTHESIS,NO,Listado preliminar informado; validar por trazabilidad
