PAGINA,VISUAL,TITULO,PREGUNTA_NEGOCIO,MEDIDAS,COHORTE,FECHA_MIN,FECHA_MAX,FILTROS,RESPONDE_PREGUNTA,OBSERVACION,ESTADO
00 Resumen Ejecutivo,f07bd2d60e407e2ddd01 (KPI Pedidos SVG),PEDIDOS EVALUADOS,¿Cuántos pedidos cerrados cuentan con información suficiente para evaluar su cumplimiento de SLA?,RE KPI Pedidos SVG; RE Pedidos contexto,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers mes/zona/flujo/clasif,SI,SVG con ImageUrl; tooltip de página,OK
00 Resumen Ejecutivo,kpi_promesa (Promesa),PROMESA CLIENTE,¿Qué porcentaje de pedidos cumplió la promesa de entrega al cliente?,RE KPI Promesa SVG,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers mes/zona/flujo,SI,SVG con ImageUrl; tooltip página 652385,OK
00 Resumen Ejecutivo,sla_panel (SLA Panel),SLA INTERNO,¿Qué porcentaje de pedidos cerrados y evaluables cumplió el SLA interno correspondiente a su zona?,RE SLA Panel SVG; RE NS contexto,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers mes/zona/flujo,SI,SVG con ImageUrl; tooltip página 652385,OK
00 Resumen Ejecutivo,donut_flujo (Distribución),DISTRIBUCIÓN POR FLUJO,"¿Qué flujo operativo concentra más pedidos fuera SLA: NORMAL, FES, SALDO o FES + SALDO?",RE Distribución Flujo SVG,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicer flujo,SI,SVG con ImageUrl; tooltip página 45f3,OK
00 Resumen Ejecutivo,chart_mensual_3m_v39 (Evolución),EVOLUCIÓN 3M,¿Cómo ha evolucionado el nivel de servicio durante el período analizado y en qué meses se observa deterioro?,RE Evolución 3M SVG,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicer mes 3M,SI,Tooltip desactivado (evita código SVG en hover),OK
00 Resumen Ejecutivo,critical_table (Top pedidos),PEDIDOS CRÍTICOS,¿Qué pedidos presentan el mayor exceso sobre su SLA y en qué hito se concentra el atraso?,RE TT Estado SVG; RE TT Días Top 10,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,Tooltip de página 22a1 sin SVG en campos,OK
01 Análisis Fuera SLA,fa_clientes_recurrentes,1. CLIENTES FUERA SLA · FRECUENCIA EN LOS ÚLTIMOS 3 MESES,"¿Qué clientes estuvieron fuera SLA durante los últimos tres meses, con qué frecuencia repitieron el incumplimiento y cuáles requieren priorización?",FA Meses/Recurrencia/Pedidos/%/DH Visible,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,251 clientes = 3+27+221; sort 3 criterios,OK
01 Análisis Fuera SLA,fa_permanencia_cd,2. FACTURA → CIERRE OFICIAL >15 DH,¿Qué clientes presentan pedidos cerrados con más de 15 días hábiles entre la factura y el cierre oficial del flujo?,FA Días Factura Salida Promedio; FA Pedidos Facturados >15d,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,"Regla cierre: FES=manifiesto, otros=despacho",OK
01 Análisis Fuera SLA,fa_vendedores_reincidentes,3. VENDEDORES · CLIENTES REINCIDENTES,¿Qué vendedores concentran clientes recurrentes fuera SLA y qué nivel de incumplimiento generan esos clientes?,FA Clientes Recurrentes 3M/2M+ Visible; FA Pedidos Fuera SLA Vendedor Recurrente,Recurrentes 2M+,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,Solo clientes recurrentes en métricas,OK
01 Análisis Fuera SLA,fa_fes_carga_tiempo,4. FES VS CARGA · MOMENTO DEL MES,¿El deterioro del NS coincide con mayor carga o participación FES al inicio o cierre del mes?,FA Carga Pedidos Creados; FA Carga % FES; FA NS %,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,Separa inicio/resto/cierre; lectura sin causalidad,OK
01 Análisis Fuera SLA,critical_table (Pedidos críticos),PEDIDOS CRÍTICOS,¿Qué pedidos presentan el mayor exceso sobre su SLA y en qué hito o causa operacional se concentra el atraso?,RE TT Estado SVG; RE TT Hito crítico,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,Tooltip de página sin SVG,OK
01.1 Auditoría por Pedido,text_272b8969e32647 (Header),AUDITORÍA 360 POR PEDIDO,"¿Cómo se construye el resultado de SLA de este pedido y qué fechas, flujo, zona y regla de cierre determinan su estado?",AUD *,Pedido seleccionado,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicer pedido,SI,Pregunta principal visible en header,OK
