INC_ID,PREVIOUS_STATUS,CURRENT_STATUS,SEVERITY,IMPACT_CURRENT,EVIDENCE,REQUIRES_BUSINESS_DECISION,RECOMMENDATION
INC-005,GREEN_RE_MULTISELECT,GREEN,INFO,0,07_live_results.csv LIVE-007-010,NO,Funciona correctamente
INC-006,GREEN_CUTOFF_AFFECTS_PROMISE,GREEN,INFO,0,07_live_results.csv LIVE-011,NO,Corte afecta preparacion no NS
INC-007A,GREEN_CURRENT_DATA,GREEN,INFO,0,07_live_results.csv LIVE-012-013,NO,0 FES sin manifiesto
INC-007B,RED_STRUCTURAL_TRP_FALLBACK,RED,RED,0,04_code_findings.csv FIND-001,SI,Eliminar fallback TRP
INC-008,DOC_CORRECTED,GREEN,INFO,0,06_live_queries.md,NO,FECHA_DESPACHO todos los flujos
INC-009,GREEN_FA_MULTISELECT,GREEN,INFO,0,07_live_results.csv LIVE-014-016,NO,14 medidas FA correctas
INC-010,GREEN_COVERED_BY_INC005,GREEN,INFO,0,07_live_results.csv,NO,Cubierto
INC-011,ORANGE_DENOMINATOR,ORANGE,ORANGE,64 pedidos,11_data_quality.csv DQ-001,SI,Documentar NS oficial
INC-012,GREEN_LEGACY_5DH,GREEN,INFO,0,07_live_results.csv,NO,SLA 5 solo ML Python
INC-013,ORANGE_REGIONAL_HOLIDAYS,ORANGE,ORANGE,NECESITA_DATOS,11_data_quality.csv DQ-002,SI,Feriados regionales
INC-014,GREEN_1430_LOAD,GREEN,INFO,0,07_live_results.csv,NO,14:30 analisis carga
INC-015,ORANGE_VBAP_COVERAGE,ORANGE,ORANGE,791 sin match,07_live_results.csv LIVE-017-019,NO,Probar normalizacion ceros
NEW-FIND002A,GREEN_ANTES,ROJO,ROJO,RE TT Título con error DAX,07_live_results.csv LIVE-006,NO,Corregir CONCATENATEX OrdenRango
