PAGINA,VISUAL,TITULO,PREGUNTA_NEGOCIO,MEDIDAS,COHORTE,FECHA_MIN,FECHA_MAX,FILTROS,RESPONDE_PREGUNTA,OBSERVACION,ESTADO
00 Resumen Ejecutivo,f07bd2d60e407e2ddd01 (KPI Pedidos nativo),PEDIDOS EVALUADOS,¿Cuántos pedidos cerrados cuentan con información suficiente para evaluar su cumplimiento de SLA?,RE Pedidos contexto,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers mes/zona/flujo/clasif,SI,CardVisual nativo; sin medida SVG ni hover técnico,PENDIENTE_MODELO_VIVO
00 Resumen Ejecutivo,kpi_promesa (Texto operativo nativo),PROMESA CLIENTE ESTIMADA,¿Cuál es la promesa total de entrega para Santiago y Regiones según SLA interno y última milla?,Regla operativa 4+1 / 5+2,Regla zonal,RE Fecha mínima contexto,RE Fecha máxima contexto,No depende de filtros transaccionales,SI,Textbox nativo; Santiago 5 DH y Regiones 7 DH,PENDIENTE_MODELO_VIVO
00 Resumen Ejecutivo,sla_panel (KPI NS nativo),NIVEL DE SERVICIO INTERNO,¿Qué porcentaje de pedidos cerrados y evaluables cumplió el SLA interno correspondiente a su zona?,RE NS contexto,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers mes/zona/flujo,SI,CardVisual nativo; SLA 4 DH Santiago / 5 DH Regiones,PENDIENTE_MODELO_VIVO
00 Resumen Ejecutivo,donut_flujo (Donut nativo),DISTRIBUCIÓN POR FLUJO,"¿Cómo se distribuyen los pedidos evaluados entre NORMAL, FES, FES + SALDO y SALDO?",RE Pedidos contexto por Fact_Tracking[CLASIFICACION],Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers mes/zona/flujo/clasif,SI,DonutChart nativo; tooltip estándar sin SVG,PENDIENTE_MODELO_VIVO
00 Resumen Ejecutivo,chart_mensual_3m_v39 (Evolución),EVOLUCIÓN 3M,¿Cómo ha evolucionado el nivel de servicio durante el período analizado y en qué meses se observa deterioro?,RE Evolución 3M SVG,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicer mes 3M,SI,Pendiente migración a combo chart nativo,REVISAR
00 Resumen Ejecutivo,critical_table (Top pedidos),PEDIDOS CRÍTICOS,¿Qué pedidos presentan el mayor exceso sobre su SLA y en qué hito se concentra el atraso?,RE TT Estado SVG; RE TT Días Top 10,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,Pendiente reemplazar semáforo SVG por estado textual/condicional,REVISAR
01 Análisis Fuera SLA,fa_clientes_recurrentes,1. CLIENTES FUERA SLA · FRECUENCIA EN LOS ÚLTIMOS 3 MESES,"¿Qué clientes estuvieron fuera SLA durante los últimos tres meses, con qué frecuencia repitieron el incumplimiento y cuáles requieren priorización?",FA Meses/Recurrencia/Pedidos/%/DH Visible,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,251 clientes = 3+27+221; sort 3 criterios,OK
01 Análisis Fuera SLA,fa_permanencia_cd,2. FACTURA → CIERRE OFICIAL >15 DH,¿Qué clientes presentan pedidos cerrados con más de 15 días hábiles entre la factura y el cierre oficial del flujo?,FA Días Factura Salida Promedio; FA Pedidos Facturados >15d,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,"Regla cierre: FES=manifiesto, otros=despacho",OK
01 Análisis Fuera SLA,fa_vendedores_reincidentes,3. VENDEDORES · CLIENTES REINCIDENTES,¿Qué vendedores concentran clientes recurrentes fuera SLA y qué nivel de incumplimiento generan esos clientes?,FA Clientes Recurrentes 3M/2M+ Visible; FA Pedidos Fuera SLA Vendedor Recurrente,Recurrentes 2M+,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,Solo clientes recurrentes en métricas,OK
01 Análisis Fuera SLA,fa_fes_carga_tiempo,4. FES VS CARGA · MOMENTO DEL MES,¿El deterioro del NS coincide con mayor carga o participación FES al inicio o cierre del mes?,FA Carga Pedidos Creados; FA Carga % FES; FA NS %,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,Separa inicio/resto/cierre; lectura sin causalidad,OK
01 Análisis Fuera SLA,critical_table (Pedidos críticos),PEDIDOS CRÍTICOS,¿Qué pedidos presentan el mayor exceso sobre su SLA y en qué hito o causa operacional se concentra el atraso?,RE TT Estado SVG; RE TT Hito crítico,Cerrados y evaluables,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicers,SI,Pendiente reemplazar semáforo SVG por estado textual/condicional,REVISAR
01.1 Auditoría por Pedido,text_272b8969e32647 (Header),AUDITORÍA 360 POR PEDIDO,"¿Cómo se construye el resultado de SLA de este pedido y qué fechas, flujo, zona y regla de cierre determinan su estado?",AUD *,Pedido seleccionado,RE Fecha mínima contexto,RE Fecha máxima contexto,Slicer pedido,SI,Pregunta principal visible en header,OK
