LAYER,OBJECT_TYPE,OBJECT_NAME,FILE_PATH,STATUS,DETAIL
MODELO,TABLE,Fact_Tracking,NS.SemanticModel/definition/tables/Fact_Tracking.tmdl,REVISADO,45 columnas; FECHA_MANIFIESTO con fallback TRP (lineas 353-358); FnDH null si Fin<Inicio
MODELO,TABLE,Lineas_y_unidades_por_pedidos,NS.SemanticModel/definition/tables/Lineas_y_unidades_por_pedidos.tmdl,REVISADO,Origen VBAP_SAP filtro AEDAT>=GETDATE()-730; 3 columnas; 22.798 filas
MODELO,TABLE,Fact_Pedidos_Auditoria,NS.SemanticModel/definition/tables/Fact_Pedidos_Auditoria.tmdl,REVISADO,181 columnas; origen con PRIMERA/ULTIMA_FECHA_MANIFIESTO y TRP crudo
MODELO,TABLE,Pedidos_Normal_VBAK,NS.SemanticModel/definition/tables/Pedidos_Normal_VBAK.tmdl,REVISADO,7 columnas; cabecera SAP VBELN; cubre 778/806 sin match de VBAP
MODELO,TABLE,Dim_Pedido,NS.SemanticModel/definition/tables/Dim_Pedido.tmdl,REVISADO,6 columnas; puente PED_NUMERO_PEDIDO para hechos
MODELO,TABLE,Dim_Rango_Entrega,NS.SemanticModel/definition/tables/Dim_Rango_Entrega.tmdl,REVISADO,Contiene OrdenRango usado como sort-by en CONCATENATEX (causa FIND-002A)
MODELO,TABLE,Dim_Vista_Ejecutiva,NS.SemanticModel/definition/tables/Dim_Vista_Ejecutiva.tmdl,REVISADO,Jerarquia desconectada de flujo (1. Flujo Normal / 2. FES / 3. Saldos puros)
MODELO,TABLE,Medidas,NS.SemanticModel/definition/tables/Medidas.tmdl,REVISADO,289 medidas; RE TT Título en SemanticError; Visible medidas usan >=1
MODELO,MEASURE,RE TT Título,NS.SemanticModel/definition/tables/Medidas.tmdl,ERROR,CONCATENATEX con Dim_Rango_Entrega[OrdenRango] sin agregacion -> SemanticError
MODELO,MEASURE,RE Pedidos contexto,NS.SemanticModel/definition/tables/Medidas.tmdl,REVISADO,Cohorte cerrados con DH valido + filtro flujo/zona; 1934 sin filtro
MODELO,MEASURE,FA Clientes Recurrentes 2M+,NS.SemanticModel/definition/tables/Medidas.tmdl,REVISADO,COUNTROWS FILTER VALUES(Dim_Cliente) con FA Meses >= 2
MODELO,MEASURE,FA Meses Fuera SLA Cliente,NS.SemanticModel/definition/tables/Medidas.tmdl,REVISADO,SUMX ventana 3M con TREATAS; base de las medidas Visible
RELATIONSHIP,REL,Lineas_y_unidades_por_pedidos[Pedido] -> Dim_Pedido[PED_NUMERO_PEDIDO],NS.SemanticModel/definition/relationships.tmdl,REVISADO,Activa 1:N
REPORTE,VISUAL,tt_context,NS.Report/definition/pages/22a1b2c3d4e5f6071829/visuals/tt_context/visual.json,REVISADO,cardVisual enlazado a Medidas.RE TT Título; posicion 12,34 676x28
